Tipo de Solicitud,Nro. GEX,Fecha Vencimiento,Estado,Regional,Departamento,Tecnicos,Fecha de Solicitud,Fecha de Resolución,Fecha de Inscripción,Caudal,Volumen,Uso,Destino,Latitud,Longitud,Mes Inicio,Mes Final,Horas x Año,Id Solicitud,Sección y localidad catastral,Tipo de acuifero,profundidad,Diámetro,Caudal Ensayado,Nivel Estático,Nivel Dinámico,Accion Solicitud,Tipo Resolución,Número de Padrón,Dias_Demora,Es_Riego
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-111,2024-05-27,Registrada,SALTO,PAYSANDÚ,"Cóppola Moller, Danilo Federico",2013-04-11,2013-05-17,2014-05-27,12.0,43200,Otros usos agropecuarios,Abrevadero de ganado,-31.91639782,-57.28368214,12.0,11.0,3600,242598,10.0,,40.0,203.2,12.0,16.0,,Nueva,Permiso de uso,1172,36.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-112,2024-07-29,Registrada,ROCHA,ROCHA,"ANDRÉS,PÉREZ",2013-04-15,2014-07-29,2014-08-05,4.5,24300,Consumo humano,Abastecimiento a poblaciones,-34.21026385,-53.90244905,12.0,11.0,5400,242599,,,31.0,0.15,4.5,11.0,25.0,Nueva,Permiso de uso,16330,470.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-117,2024-05-15,Registrada,SALTO,PAYSANDÚ,"Apatie, Juan Pablo",2013-04-23,2013-05-17,2014-05-15,2.0,7200,Otros usos agropecuarios,Abrevadero de ganado,-31.51047829,-57.95768849,12.0,11.0,3600,242604,4.0,,45.0,203.0,2.0,0.2,39.0,Nueva,Permiso de uso,7180,24.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-120,2024-05-14,Registrada,SALTO,PAYSANDÚ,"Terzeiff Aldaya, Jeanne Marie",2013-04-26,2013-05-17,2014-05-14,20.0,72000,Otros usos agropecuarios,Abrevadero de ganado,-32.1489328,-57.3298303,12.0,11.0,3600,242608,5.0,,35.0,209.55,20.0,1.0,20.0,Nueva,Permiso de uso,6489,21.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-121,2024-05-27,Registrada,SALTO,PAYSANDÚ,"Widmaier Tulier, Gustavo Felipe",2013-04-26,2013-05-17,2014-05-27,7.2,25920,Otros usos agropecuarios,Abrevadero de ganado,-31.76521984,-57.78995538,12.0,11.0,3600,242609,4.0,,38.9,203.2,7.2,14.6,19.9,Nueva,Permiso de uso,6537,21.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-122,2024-07-22,Registrada,SALTO,PAYSANDÚ,"Terzeiff Aldaya, Jeanne Marie",2013-05-02,2013-05-17,2014-07-22,2.0,7200,Otros usos agropecuarios,Abrevadero de ganado,-32.31619593,-57.21318519,12.0,11.0,3600,242610,5.0,,18.8,203.2,2.0,6.0,12.0,Nueva,Permiso de uso,4958,15.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-125,2024-06-09,Registrada,FRAY BENTOS,PAYSANDÚ,"Cóppola Moller, Danilo Federico",2013-05-03,2013-05-17,2014-06-09,4.0,14400,Otros usos agropecuarios,Abrevadero de ganado,-32.31912744,-57.88054373,12.0,11.0,3600,242613,2.0,,35.7,203.2,4.0,12.0,,Nueva,Permiso de uso,2691,14.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-129,2024-05-15,Registrada,SALTO,PAYSANDÚ,"Finozzi Saucedo, Gervasio María",2013-05-06,2013-05-17,2014-05-15,5.0,28800,Otros usos agropecuarios,Tambo,-31.69480162,-57.8909368,12.0,11.0,5760,242617,4.0,,40.0,203.2,5.0,9.0,17.0,Nueva,Permiso de uso,5085,11.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-130,2024-05-27,Registrada,FRAY BENTOS,PAYSANDÚ,"Cóppola Moller, Danilo Federico",2013-05-06,2013-05-17,2014-05-27,2.0,7200,Otros usos agropecuarios,Abrevadero de ganado,-32.41913953,-58.11612263,12.0,11.0,3600,242619,1.0,,40.0,203.2,2.0,17.0,,Nueva,Permiso de uso,2654,11.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-133,2024-05-27,Registrada,SALTO,PAYSANDÚ,"Widmaier Tulier, Gustavo Felipe",2013-05-09,2013-05-17,2014-05-27,7.0,25200,Otros usos agropecuarios,Abrevadero de ganado,-31.72539014,-57.77117088,12.0,11.0,3600,242622,4.0,,30.0,203.2,7.0,6.3,,Nueva,Permiso de uso,5123,8.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-134,2024-06-12,Registrada,FRAY BENTOS,PAYSANDÚ,"Cóppola Moller, Danilo Federico",2013-05-09,2013-05-17,2014-06-12,4.5,16200,Otros usos agropecuarios,Abrevadero de ganado,-32.31575386,-57.89373691,12.0,11.0,3600,242623,2.0,,32.0,203.2,4.5,8.0,,Nueva,Permiso de uso,10910,8.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-136,2024-08-20,Registrada,TACUAREMBÓ,TACUAREMBÓ,"Sanjurjo Ibarra, Patricia Elena",2013-05-09,2013-05-17,2014-08-26,3.8,13680,Otros usos agropecuarios,Abrevadero de ganado,-32.04751139,-56.02414269,12.0,11.0,3600,242625,2.0,AMBOS,40.0,254.0,3.8,19.9,22.9,Nueva,Permiso de uso,13136,8.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-15,2024-02-11,Registrada,SALTO,SALTO,"Figares Espósito, Cecilia",2013-01-10,2013-05-17,,0.8,2880,Otros usos agropecuarios,Abrevadero de ganado,-31.41318967,-56.60606566,12.0,11.0,3600,242639,6.0,,71.5,203.2,0.8,10.0,,Nueva,Sin Resolución,7749,127.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-153,2024-12-18,Registrada,TACUAREMBÓ,TACUAREMBÓ,"González Clavijo, María Fabiana",2013-05-22,2014-12-18,2014-12-18,1.2,6912,Otros usos agropecuarios,Tambo,-32.06158838,-55.285041,12.0,11.0,5760,242643,7.0,,15.0,1.2,1.2,,,Nueva,Permiso de uso,10913,575.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-16,2024-02-10,Registrada,SALTO,SALTO,"Couture Méndez, Félix Mario",2013-05-17,2013-05-17,,3.0,10800,Otros usos agropecuarios,Abrevadero de ganado,-31.55499471,-56.91277052,12.0,11.0,3600,242650,,,56.0,203.2,3.0,38.0,,Nueva,Sin Resolución,5274,0.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-167,2023-06-30,Registrada,MONTEVIDEO,MONTEVIDEO,"Heinzen, Walter",2013-05-28,2014-01-08,2014-01-13,8.0,28800,Riego,Hortalizas,-34.83798436,-56.33226133,12.0,11.0,3600,242658,,AMBOS,62.0,0.15,15.0,10.0,48.0,Nueva,Permiso de uso,93573,225.0,1
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-174,2025-02-23,Registrada,MONTEVIDEO,MONTEVIDEO,"Abelenda, Daniel",2013-06-03,2015-02-23,2015-02-26,17.5,56700,Industrial,Alimentos y bebidas,-34.83274259,-56.31873758,12.0,11.0,3240,242666,13.0,,56.0,0.14,17.5,24.0,26.5,Nueva,Permiso de uso,42241,630.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-175,2025-01-28,Registrada,MONTEVIDEO,MONTEVIDEO,"Abelenda, Daniel",2013-06-03,2015-01-28,2015-02-09,31.0,100440,Industrial,Alimentos y bebidas,-34.83500207,-56.32155041,12.0,11.0,3240,242667,13.0,,100.0,0.18,31.3,22.8,26.4,Nueva,Permiso de uso,42241,604.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-242,2023-10-07,Registrada,DURAZNO,FLORES,"Molina, Nelson",2013-07-17,2013-10-07,2013-10-14,1.2,2592,Consumo humano,Uso doméstico,-33.51863239,-56.91176974,12.0,11.0,2160,242741,,,21.0,0.15,1.2,3.75,8.5,Nueva,Permiso de uso,6918,82.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-258,2024-01-29,Registrada,SALTO,SALTO,"Couture Méndez, Félix Mario",2013-05-17,2013-05-17,,1.2,4320,Otros usos agropecuarios,Abrevadero de ganado,-31.58376424,-56.50889096,12.0,11.0,3600,242756,5.0,,72.0,203.2,1.2,28.0,,Nueva,Sin Resolución,10922,0.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-26,2024-05-09,Registrada,FRAY BENTOS,PAYSANDÚ,"Carameso Da Costa, María Lourdes",2013-01-25,2013-05-17,2014-05-09,3.0,17280,Otros usos agropecuarios,Tambo,-32.40268054,-57.97756441,12.0,11.0,5760,242758,2.0,,50.0,203.2,3.0,10.0,30.0,Nueva,Permiso de uso,1709,112.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-305,2025-01-07,Registrada,MONTEVIDEO,MONTEVIDEO,"Heinzen, Walter",2013-08-27,2015-01-07,2015-02-02,0.5,1500,Otros usos,Comercial y servicios,-34.79662162,-56.15010092,12.0,11.0,3000,242809,17.0,,32.0,0.15,0.5,10.0,25.0,Nueva,Permiso de uso,91946,498.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-312,2024-02-18,Registrada,MONTEVIDEO,SAN JOSÉ,"Gagliardi, Sergio",2013-09-02,2014-02-18,2014-03-11,3.0,16200,Industrial,Química,-34.7762097,-56.37050414,12.0,11.0,5400,242817,8.0,,30.0,0.2,3.0,1.52,6.63,Nueva,Permiso de uso,18159,169.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-314,2016-06-14,Registrada,MONTEVIDEO,CANELONES,"Carrión, Roberto",2013-09-03,2014-05-16,2014-05-16,2.0,7200,Industrial,Alimentos y bebidas,-34.70671928,-56.28998452,12.0,11.0,3600,242819,5.0,,97.0,0.15,2.5,9.0,70.0,Nueva,Permiso de uso,40823,255.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-315,2016-06-14,Registrada,MONTEVIDEO,CANELONES,"Carrión, Roberto",2013-09-04,2014-05-15,,0.4,1440,Industrial,Alimentos y bebidas,-34.7070296,-56.28677722,12.0,11.0,3600,242820,5.0,,64.0,0.15,0.4,9.0,39.0,Nueva,Sin Resolución,40823,253.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-327,2024-02-11,Registrada,SALTO,SALTO,"Montaño, Mauricio",2013-05-17,2013-05-17,,15.0,54000,Otros usos agropecuarios,Abrevadero de ganado,-31.33279414,-56.63339098,12.0,11.0,3600,242833,6.0,,43.0,152.4,15.0,14.9,,Nueva,Sin Resolución,2817,0.0,0
Proyecto de Aprovechamiento,SGRH-2013-10-004-0510-1-332,2024-07-14,Registrada,ROCHA,ROCHA,"Chagas Montero, Carlos María",2013-09-11,2014-07-14,2014-07-14,3.5,12600,Otros usos agropecuarios,Abrevadero de ganado,-34.18704649,-53.91300177,12.0,11.0,3600,242839,4.0,,44.0,254.0,3.5,1.89,18.74,Nueva,Permiso de uso,33716,306.0,0
Proyecto de Aprovechamiento,2013/14000/12041,2024-02-26,Registrada,SAN JOSÉ,SAN JOSÉ,"Abelenda, Daniel",2013-09-13,2014-02-26,2014-03-14,44.0,285120,Industrial,Alimentos y bebidas,-34.39702703,-56.53553284,12.0,11.0,6480,242852,,,37.0,0.35,44.0,12.0,20.0,Nueva,Permiso de uso,2544,166.0,0
Proyecto de Aprovechamiento,2013/14000/12044,2024-02-26,Registrada,SAN JOSÉ,SAN JOSÉ,"Abelenda, Daniel",2013-09-16,2014-02-26,2014-03-17,33.0,213840,Industrial,Alimentos y bebidas,-34.39270329,-56.53799609,12.0,11.0,6480,242853,,,28.0,0.35,33.0,6.0,20.0,Nueva,Permiso de uso,2544,163.0,0
Proyecto de Aprovechamiento,2013/14000/12048,2024-02-27,Registrada,SAN JOSÉ,SAN JOSÉ,"Abelenda, Daniel",2013-09-16,2014-02-27,2014-03-21,7.0,45360,Industrial,Alimentos y bebidas,-34.39055644,-56.53523701,12.0,11.0,6480,242854,,,28.0,0.35,7.0,12.0,20.0,Nueva,Permiso de uso,2544,164.0,0
